# wubi phrase dictionary (converted from rime)
# format: phrase	code	freq
功法	aeif	1807152
散光	aeig	1141882
散漫	aeij	2581647
菜油	aeim	1022729
苏浙	aeir	1370258
菜叶	aekf	546117
苏中	aekh	636475
菜品	aekk	1370258
功勋	aekm	4756188
苏轼	aela	2224188
菜园	aelf	4547670
功罪	aelh	774494
菜田	aell	272065
散曲	aema	527251
散见	aemq	176743
苏丹	aemy	3405788
散居	aend	517322
散发	aent	21944000
散心	aeny	2442635
散尽	aeny	1956094
散席	aeoa	215468
菜籽	aeob	1330541
功业	aeoh	733783
功底	aeoq	6632847
菜农	aepe	1300752
苏军	aepl	1082305
散客	aept	2253976
切肤之痛	aepu	707967
藐视	aepy	3117835
菜色	aeqc	2353270
菜鸟	aeqg	20653176
功名	aeqk	3634164
菜馆	aeqn	1896517
黄鼠狼	aeqt	552075
苏铁	aeqt	335614
菜肴	aerd	4944847
敬爱的	aerq	2601505
散打	aers	1707858
苏打	aers	1489411
散播	aert	2611435
散热	aerv	25220705
散兵	aerw	419021
藤椅	aesd	769529
荔枝	aesf	5054070
苏醒	aesg	5143435
芝加哥	aesk	7387482
菜根	aesv	1380188
苏杭	aesy	468668
散乱	aetd	3991623
功德	aetf	4706541
散失	aetg	937336
菜牛	aetg	116174
功利	aetj	4160423
菜篮	aetj	245256
散射	aetm	1548988
藤条	aets	491505
菜系	aetx	6205882
散装	aeuf	3008611
散养	aeug	572927
苏美	aeug	344550
菜单	aeuj	45476705
恭贺新禧	aeup	574912
功效	aeur	21944000
黄毛丫头	aeuu	325684
苏北	aeux	2432705
菜刀	aevn	3723529
散会	aewf	737755
散伙	aewo	811232
苟且偷安	aewp	140004
散件	aewt	1966023
苏俄	aewt	449802
苟且偷生	aewt	350508
七月份	aeww	2005741
菜价	aeww	846978
散结	aexf	1022729
功绩	aexg	2373129
苏绣	aext	781444
藤编	aexy	398169
功课	aeyj	6225741
散剂	aeyj	400155
菜市	aeym	880738
散户	aeyn	13901176
散记	aeyn	1380188
苏州	aeyt	146955294
功放	aeyt	6871152
散放	aeyt	699030
菜谱	aeyu	6116517
功率	aeyx	28894588
散文	aeyy	44086588
落地式	afaa	434908
劳动节	afab	2333411
七十七	afag	1876658
东城区	afar	7169035
鞋匠	afar	608672
蔷薇	afat	7367623
鞋子	afbb	16383529
靴子	afbb	3495152
鞭子	afbb	1936235
靶子	afbb	1350400
革职	afbk	375331
勒出	afbm	161849
敬老院	afbp	3088047
革除	afbw	522287
花鼓戏	afca	256178
鞍马	afcg	354480
著有	afde	2502211
落地有声	afdf	69704
若无其事	afdg	2929176
七十三	afdg	1171670
鞋面	afdl	977054
鞋帮	afdt	363416
劳动力	afen	20851764
鞭毛	afet	485548
巨无霸	affa	1936235
靶场	affn	353487
苇塘	affo	83307
勒索	affp	4815764
著者	afft	84400000
劳动者	afft	6732141
蔡元培	affu	887689
菱形	afga	2184470
落井下石	afgd	1747576
莫过于	afgf	6473976
七十五	afgg	2720658
七十一	afgg	1082305
鞋带	afgk	1370258
东南亚	afgo	18667294
勒死	afgq	1062447
功亏一篑	afgt	905562
藉此	afhx	3316423
黄埔江	afia	68910
芜湖	afid	9323717
劳动法	afif	3465364
花露水	afii	528244
蒜泥	afin	1122023
劳动党	afip	351501
勒紧	afjc	679171
劳动量	afjg	330649
劳动日	afjj	85889
暮鼓晨钟	afjq	235327
鞋跟	afkh	1290823
藉口	afkk	4766117
鞋帽	afmh	25022117
藉由	afmh	5997364
鞍山	afmm	21248941
恭喜发财	afnm	3435576
劳动局	afnn	1856800
著书	afnn	1181600
区域性	afnt	3693741
鞋类	afod	4706541
鞋业	afoh	7466917
鞋店	afoh	1280894
鞭炮	afoq	4438447
鞋底	afoq	2532000
藕粉	afow	326677
劳动密集型	afpg	2005741
黄埔军校	afps	780451
鞋袜	afpu	1330541
菱角	afqe	745698
鞋印	afqg	120145
著名	afqk	94627294
鞍钢	afqm	2621364
墓志铭	afqq	854922
鞭挞	afrd	552075
劳教所	afrn	850950
鞭打	afrs	1261035
莱索托	afrt	701016
鞋垫	afrv	1300752
鞋柜	afsa	796338
靶标	afsf	184687
东南西北	afsu	1966023
著述	afsy	2204329
鞭笞	aftc	355472
英吉利	aftj	564983
鞠躬	aftm	4051200
著称	aftq	6136376
鞭策	afts	2095105
落地生根	afts	599736
七十年代	aftw	5620047
蒜头	afud	833077
东南部	afuk	1936235
劳动部	afuk	1251105
蒜瓣	afur	3733458
革新	afus	10028705
茫无头绪	afux	118160
七十六	afuy	1807152
芜杂	afvs	338592
七十九	afvt	1827011
七零八落	afwa	791374
劳动保险	afwb	638461
七老八十	afwf	330649
革命	afwg	61264470
劳动人民	afwn	2432705
荒无人烟	afwo	330649
东南风	afwr	707967
著作	afwt	129082352
七十八	afwt	2095105
勒令	afwy	2124894
莎士比亚	afxg	2253976
劳动强度	afxo	1658211
蕾丝	afxx	5520752
黄土高原	afyd	1092235
或者说	afyu	16582117
东南方	afyy	714917
著文	afyy	416042
花开花落	agaa	8698164
七节	agab	4269647
芋艿	agab	272065
七项	agad	1807152
莱芜	agaf	5530682
七七	agag	6225741
莱茵	agal	3236988
菁英	agam	4259717
芙蓉	agap	22738352
巧匠	agar	195609
茉莉	agat	8181835
莱切	agav	707967
莱阳	agbj	1568847
巧劲	agca	228376
莱特	agcf	3455435
世事难料	agco	647397
欧亚大陆	agdb	681157
七大	agdd	12213176
匹夫有责	agdg	790381
七百	agdj	3981694
七成	agdn	6325035
七月	agee	34653647
七彩	ages	18965176
巧用	aget	4359011
七十	agfg	32568470
七喜	agfk	6404470
东正教	agft	683143
七天	aggd	2641223
七一	aggg	2164611
匡正	aggh	293910
匡救	aggi	61363
巧事	aggk	335614
七万	aggq	1836941
花青素	aggx	288945
七点	aghk	4805835
花天酒地	agif	834070
巧学	agip	141990
菜青虫	agjh	391218
七日	agjj	16085647
巧遇	agjm	3117835
苹果	agjs	57292705
七星	agjt	14695529
七号	agkg	1896517
共青团	aglf	12411764
共青团员	aglk	2651152
巧思	agln	1350400
荆轲	agls	685129
七岁	agmq	6354823
七层	agnf	1678070
七情	agng	1737647
戈壁	agnk	6245600
七届	agnm	10326588
工于心计	agny	247242
区政府	agow	7705223
莱塞	agpa	526258
匹夫之勇	agpc	313769
七窍	agpw	638461
葬礼	agpy	3117835
七色	agqc	5639905
戈尔	agqi	4438447
七旬	agqj	2968894
七名	agqk	3038400
七夕	agqt	12411764
匡扶	agrg	267101
匪夷所思	agrl	3147623
七折	agrr	1489411
巧手	agrt	2532000
莱西	agsg	1767435
荆棘	agsm	4319294
七楼	agso	1678070
攻击机	agsw	694065
擎天柱	agsy	425971
董事长	agta	23532705
七千	agtf	3584517
七年	agtg	26710117
七段	agth	960174
惹事生非	agth	552075
七种	agtk	6027152
葬身	agtm	1886588
荆条	agts	159863
七律	agtv	939322
药到病除	agub	364409
葬送	agud	1946164
芋头	agud	1439764
七次	aguq	7188894
荆门	aguy	5103717
莱辛	aguy	584842
巧妙	agvi	22936941
七九	agvt	2253976
董事会	agwf	14695529
巧合	agwg	14993411
七个	agwh	11021647
七亿	agwn	529237
七八	agwt	13404705
七位	agwu	2939105
七分	agwv	7903811
七人	agww	5024282
菁华	agwx	1310682
戒严令	agwy	67718
七级	agxb	1926305
七绝	agxq	1380188
巧计	agyf	312776
荆州	agyt	12113882
巧言	agyy	352494
卧式	ahaa	2383058
卧虎藏龙	ahad	1906447
菲薄	ahai	641440
苜蓿	ahap	1499341
雅苑	ahaq	2134823
牙医	ahat	1459623
雅芳	ahay	4160423
臣子	ahbb	1032658
雅观	ahcm	584842
牙慧	ahdh	67420
匪帮	ahdt	247242
卧龙	ahdx	7586070
臣服	aheb	2750447
卧地	ahfb	139011
雅趣	ahfh	1270964
邪教	ahft	16979294
雅致	ahgc	5937788
