# wubi phrase dictionary (converted from rime)
# format: phrase	code	freq
菜谱	aeyu	1
功效	aeyw	1
功率	aeyx	1
散文	aeyy	1
苏方	aeyy	1
劳动节	afab	1
某项	afad	1
甘苦	afad	1
劳动英雄	afad	1
某某	afaf	1
七十七	afag	1
若无其事	afag	1
甘草	afaj	1
甘蓝	afaj	1
甘薯	afal	1
甘蔗	afao	1
劳动工资制度	afao	1
芙蓉	afap	1
东城区	afar	1
蔷薇	afat	1
劳动工资	afau	1
敬老院	afbp	1
甘孜	afbt	1
劳动卫生	afbt	1
花鼓戏	afca	1
劳动能力	afce	1
劳动观点	afch	1
攻无不克	afdd	1
著有	afde	1
落地有声	afdf	1
七十三	afdg	1
匹夫有责	afdg	1
劳动态度	afdo	1
甘愿	afdr	1
功夫不负有心人	afdw	1
工夫不负有心人	afdw	1
某月	afee	1
某县	afeg	1
贡献力量	afej	1
劳动力	afen	1
劳动服务公司	afen	1
甘受	afep	1
敬老爱幼	afex	1
巨无霸	affa	1
某地	affb	1
七十二	affg	1
甘露	affk	1
甘南	affm	1
若干规定	affp	1
甘霖	affs	1
劳动者	afft	1
著者	afft	1
七十二行	afft	1
蔡元培	affu	1
劳动教养	affu	1
劳动教育	affy	1
菱形	afga	1
落地式	afga	1
某天	afgd	1
落井下石	afgd	1
莫过于	afgf	1
甘于	afgf	1
某一	afgg	1
七十五	afgg	1
七十一	afgg	1
东南亚国家联盟	afgj	1
某事	afgk	1
东南亚	afgo	1
劳动致富	afgp	1
七十万	afgq	1
功亏一篑	afgt	1
某些	afhx	1
黄埔江	afia	1
芜湖	afid	1
劳动法	afif	1
花露水	afii	1
甘油	afim	1
蒜泥	afin	1
劳动党	afip	1
某省	afit	1
甘当	afiv	1
某时	afjf	1
劳动量	afjg	1
或者是	afjg	1
甘冒	afjh	1
共进早餐	afjh	1
共进晚餐	afjh	1
某日	afjj	1
劳动日	afjj	1
暮鼓晨钟	afjq	1
劳动时间	afju	1
某男	afle	1
某甲	aflh	1
七十四	aflh	1
区域网	afmr	1
黄埔同学会	afmw	1
甘居	afnd	1
恭喜发财	afnm	1
劳动局	afnn	1
著书	afnn	1
蓬勃发展	afnn	1
区域性	afnt	1
劳动改造	afnt	1
甘心	afny	1
匹夫之勇	afpc	1
某家	afpg	1
劳动密集型	afpg	1
英霸之器	afpk	1
劳动定额	afpp	1
黄埔军校	afps	1
斯坦福	afpy	1
菱角	afqe	1
东南角	afqe	1
著名	afqk	1
劳动锻炼	afqo	1
墓志铭	afqq	1
劳动技能	afrc	1
斯堪的纳维亚	afrg	1
某年	afrh	1
甘泉	afri	1
劳教所	afrn	1
蓬勃的	afrq	1
劳动报酬	afrs	1
莱索托	afrt	1
劳动所得	afrt	1
七十年代	afrw	1
劳动手段	afrw	1
劳动模范	afsa	1
劳动权	afsc	1
甘醇	afsg	1
甘露醇	afsg	1
东南西北	afsu	1
著述	afsy	1
甘甜	aftd	1
劳动生产力	afte	1
某处	afth	1
共进午餐	afth	1
英吉利	aftj	1
某种	aftk	1
著称	aftq	1
某物	aftq	1
落地生根	afts	1
劳动和社会保障部	aftu	1
劳动条件	aftw	1
劳动生产率	afty	1
蒜头	afud	1
蒜瓣	afud	1
甘美	afug	1
东南部	afuk	1
某部	afuk	1
劳动部	afuk	1
邯郸	aful	1
劳动竞赛	afup	1
劳动新闻	afuu	1
劳动部门	afuu	1
茫无头绪	afux	1
莫过如此	afvh	1
甘肃	afvi	1
著录	afvi	1
芜杂	afvs	1
七十九	afvt	1
某女	afvv	1
劳动群众	afvw	1
七零八落	afwa	1
劳动保险	afwb	1
劳动保障	afwb	1
七老八十	afwf	1
某个	afwh	1
劳动人口	afwk	1
劳动保护用品	afwk	1
劳动合同	afwm	1
劳动人民	afwn	1
荒无人烟	afwo	1
恭喜你	afwq	1
东南风	afwr	1
劳动保护	afwr	1
甘休	afws	1
著作	afwt	1
七十八	afwt	1
某件	afwt	1
劳动保险处	afwt	1
某位	afwu	1
某人	afww	1
区域合作	afww	1
莎士比亚	afxg	1
区域经济	afxi	1
劳动强度	afxo	1
劳动纪律	afxt	1
劳动组合	afxw	1
蕾丝	afxx	1
黄土高原	afyd	1
某市	afym	1
劳动就业	afyo	1
甘州	afyt	1
甘为	afyt	1
或者说	afyu	1
七十六	afyw	1
东南方	afyy	1
著文	afyy	1
劳动效率	afyy	1
花开花落	agaa	1
芋艿	agab	1
七节	agab	1
七项	agad	1
莱芜	agaf	1
七七	agag	1
莱茵	agal	1
菁英	agam	1
巧匠	agar	1
茉莉	agat	1
七五期间	agau	1
莱切	agav	1
莱阳	agbj	1
巧劲	agca	1
世事难料	agco	1
欧亚大陆	agdb	1
七大	agdd	1
甚至还有	agdd	1
七百	agdj	1
七成	agdn	1
芒刺在背	agdu	1
七月	agee	1
巧用	ageh	1
七彩	ages	1
七十	agfg	1
巧干	agfg	1
七喜	agfk	1
东正教	agft	1
七天	aggd	1
甚至于	aggf	1
七一	aggg	1
匡正	aggh	1
匡救	aggi	1
巧事	aggk	1
荆棘	aggm	1
七万	aggq	1
花青素	aggx	1
七点	aghk	1
花天酒地	agif	1
巧学	agip	1
甚至是	agjg	1
菜青虫	agjh	1
七日	agjj	1
巧遇	agjm	1
某一时期的	agjr	1
苹果	agjs	1
七星	agjt	1
七号	agkg	1
共青团	aglf	1
勤于思考	aglf	1
共青团员	aglk	1
莆田	agll	1
共青团中央	aglm	1
巧思	agln	1
荆轲	agls	1
共青团组织	aglx	1
七岁	agmq	1
七层	agnf	1
七情	agng	1
戈壁	agnk	1
七届	agnm	1
工于心计	agny	1
区政府	agow	1
莱塞	agpa	1
落到实处	agpt	1
七窍	agpw	1
葬礼	agpy	1
七色	agqc	1
戈尔	agqi	1
七旬	agqj	1
七名	agqk	1
七夕	agqt	1
匡扶	agrf	1
七年	agrh	1
匪夷所思	agrl	1
戒毒所	agrn	1
七折	agrr	1
巧手	agrt	1
熙来攘往	agrt	1
莱西	agsg	1
七楼	agso	1
攻击机	agsw	1
擎天柱	agsy	1
董事长	agta	1
功到自然成	agtd	1
莱特	agtf	1
七千	agtf	1
匡算	agth	1
惹事生非	agth	1
七种	agtk	1
葬身	agtm	1
荆条	agts	1
七律	agtv	1
药到病除	agub	1
葬送	agud	1
芋头	agud	1
莱辛	aguf	1
七次	aguq	1
