# wubi char dictionary (converted from rime)
# format: char	code	freq
䢡	ansp	3951
枼	ansu	231355
苾	antr	531223
芯	anu	37334588
荬	anud	228376
世	anv	169792941
戉	anv	61959
蓼	anw	2194400
芵	anwu	81123
藋	anwy	37533
苨	anxb	70101
荩	any	161849
蘹	anye	45576
䕜	anyf	3465
忒	anyi	3852611
苡	anyw	1300752
蘑	ao	1330541
蔗	aoa	1737647
蓆	aoah	701016
薠	aodm	88371
蘱	aodm	41405
蓭	aodn	27405
蕿	aoec	21248
薦	aogo	3078117
蔊	aojf	37930
䑞	aoog	3912
藀	aooo	29192
菼	aoou	50540
蒾	aopu	197595
菧	aoqy	78144
䓎	aoqy	4140
䕇	aorc	7139
蘼	aosd	2075247
䕷	aosi	3703
藦	aosr	147948
蔴	aoss	206531
䕰	aotl	3733
苂	aou	83804
炗	aou	24128
䕺	aouc	3753
薱	aouf	96116
薕	aouw	35150
薮	aov	1122023
蒌	aovf	404127
蓎	aovk	51632
菮	aovw	24327
䕠	aowc	4041
蓙	aowf	295896
薼	aoxf	38526
藨	aoxo	67619
蘪	aoxo	25121
蔍	aoxx	51533
䕲	aoyi	3862
芝	ap	44781647
藆	apar	25717
茡	apbf	93733
菪	apd	1122023
藔	apdi	24823
藼	apdn	21745
劳	ape	59576470
䒿	apef	4071
萓	apeg	133054
藛	apeo	35745
蒙	apf	77052235
蔻	apfc	12014588
氋	apfe	23334
茔	apff	439872
蒄	apff	62555
鹲	apfg	24227
萗	apfi	29093
鸏	apfo	21447
莞	apfq	2700800
蔲	apft	41604
䓻	apfv	3376
莹	apg	10425882
苎	apgf	1836941
荢	apgf	48058
萱	apgg	12014588
萣	apgh	268094
䔰	apgl	5689
薲	apgm	25320
蔩	apgw	26213
荥	api	382282
萤	apj	8459858
蓂	apju	120145
营	apk	94329411
荤	apl	6156235
葷	aplj	720875
菅	apn	2869600
䔭	apne	4776
茕	apnf	289938
藌	apnj	111209
蔤	apnm	40909
薴	apns	42597
荧	apo	2631294
莺	apq	4458305
菀	apqb	1300752
䒞	apqb	3842
蓥	apqf	634489
蒬	apqy	44185
荣	aps	53420235
蒏	apsg	28298
苧	apsj	327670
荦	apt	496470
䓨	aptb	3554
䔂	apuj	5004
䕣	apun	4080
荌	apvf	834070
䒯	apvy	3564
